i,lid_1,rc_1,exp_2|1,distcomp,dataset,workload_description,eps_0.05,eps_0.1,eps_0.5,eps_1,lid_10,rc_10,exp_20|10
752,,,,0.0134674,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2.2e-06,8.6e-06,0.0426014,0.971341,52.917713,1.6520293,1.0308046
753,,,,0.0458932,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.2e-06,3.2e-06,0.000901,0.1177044,21.3585,2.0032122,1.0237967
754,,,,0.0606868,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-07,6e-07,0.0019318,0.5161982,23.439611,1.7244761,1.0246835
755,,,,0.0028234,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.2e-06,4.6e-06,0.0017068,0.1226526,42.197666,2.0521903,1.0261667
756,,,,0.0042736,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.8e-06,4.6e-06,0.0020332,0.2619132,52.23206,1.9789639,1.0396422
757,,,,0.0059046,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),4e-07,1e-06,0.0128702,0.872288,21.475681,1.5951184,1.0235379
758,,,,0.0080374,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-07,3e-06,0.0390066,0.9492854,48.590107,1.6143516,1.0169458
759,,,,0.0047844,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2.72e-05,0.0003176,0.07784,0.9385342,239.02596,1.7336513,1.0108192
760,,,,0.0015936,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.4e-06,4.6e-06,0.0012072,0.1062306,30.652222,2.0750353,1.0233779
761,,,,0.0019138,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-07,8e-07,0.0009272,0.4188062,27.878815,1.7789574,1.033397
762,,,,0.0044188,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-07,2.6e-06,0.008346,0.4847042,39.34462,1.8164792,1.0138359
763,,,,0.0058118,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-07,1.6e-06,0.0242694,0.9353536,41.40886,1.6066892,1.0200067
764,,,,0.016376,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),5.8e-06,4.02e-05,0.1750728,0.98928,81.01963,1.610303,1.0109936
765,,,,0.0012754,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),8e-07,3.4e-06,0.002083,0.2933144,51.015087,1.9443027,1.0329216
766,,,,0.0019524,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),3.2e-06,1.7e-05,0.0105042,0.9043104,98.951355,1.7719916,1.0212302
767,,,,0.001788,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.6e-06,8.4e-06,0.006426,0.6186494,41.391014,1.8399067,1.0090734
768,,,,0.0085044,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),4e-07,6e-07,0.000649,0.2486784,23.575079,1.8173772,1.0256549
769,,,,0.0025706,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),4e-07,8e-07,0.0016288,0.3421236,24.385246,1.8199205,1.0186527
770,,,,0.0193668,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2.6e-06,5.38e-05,0.098788,0.9547798,70.58851,1.6623734,1.0095878
771,,,,0.0033274,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.2e-06,5.2e-06,0.0100608,0.666057,39.072414,1.8023201,1.0241504
772,,,,0.0026818,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6.2e-06,5.6e-05,0.032232,0.9661154,72.7344,1.7139598,1.010363
773,,,,0.002935,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),8e-07,4.4e-06,0.003906,0.2637722,64.30841,1.944059,1.0281624
774,,,,0.0021998,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),4.8e-06,5.92e-05,0.052739,0.847807,102.78549,1.7551191,1.0093108
775,,,,0.0080456,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.8e-06,6.8e-06,0.0153696,0.405724,41.605225,1.89276,1.021991
776,,,,0.0536368,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1e-06,8.4e-06,0.036737,0.8993188,58.98363,1.68285,1.0090036
777,,,,0.0647106,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),3.6e-06,2.3e-05,0.2310422,0.9983166,64.04536,1.5409242,1.0169613
778,,,,0.0016006,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6e-07,5e-06,0.0020524,0.2990036,58.48671,1.9294044,1.0149133
779,,,,0.0066076,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.6e-06,9.6e-06,0.0096246,0.795532,36.964115,1.7690189,1.0125656
780,,,,0.0017762,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.8e-06,7.2e-06,0.0021276,0.3971808,36.290134,1.9308187,1.0276731
781,,,,0.0013732,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2.6e-06,1.52e-05,0.0160594,0.4751412,61.24311,1.9160489,1.0183123
782,,,,0.0178498,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.2e-06,5e-06,0.004088,0.4710378,38.088974,1.8658246,1.0190029
783,,,,0.042694,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2.2e-06,1.82e-05,0.3484476,0.9998012,86.17108,1.4825097,1.0184239
784,,,,0.0036812,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),3.4e-06,2.22e-05,0.014463,0.4016812,66.63923,1.9485873,1.0219411
785,,,,0.0080732,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),8e-06,5.16e-05,0.0882464,0.9972662,106.36822,1.6129931,1.0066347
786,,,,0.0082048,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-07,8e-07,0.003729,0.3309998,34.67331,1.8326448,1.0167032
787,,,,0.0035476,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-06,5.2e-06,0.0066242,0.4629986,49.28922,1.8963097,1.0259957
788,,,,0.0040874,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.2e-06,7.4e-06,0.015721,0.8119656,44.104465,1.7658335,1.0191715
789,,,,0.0049108,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),3.4e-06,1.48e-05,0.0260502,0.9472076,91.93991,1.7076569,1.0223436
790,,,,0.0032724,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6e-07,2e-06,0.0025108,0.3359608,24.794657,1.8527112,1.0258963
791,,,,0.091234,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2.1e-05,0.0004642,0.416496,1.0,178.46252,1.4852451,1.007416
792,,,,0.00135,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2.2e-06,1.16e-05,0.0034004,0.291939,61.776012,1.9796417,1.0152551
793,,,,0.0037214,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2.8e-06,1.98e-05,0.0169186,0.953956,51.410557,1.7106999,1.0147197
794,,,,0.0131598,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-07,1.8e-06,0.0021414,0.4828142,41.051426,1.8076755,1.016188
795,,,,0.0206428,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),4.8e-06,1.78e-05,0.038249,0.9668734,78.826256,1.6896765,1.0111935
796,,,,0.00872,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),3.8e-06,6.32e-05,0.121437,0.992503,72.2423,1.5963993,1.0080384
797,,,,0.0047652,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-07,4e-06,0.0186312,0.739316,59.171227,1.7432692,1.0144261
798,,,,0.0139406,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-06,3.8e-05,0.1232844,0.9961484,74.58563,1.5880132,1.0126548
799,,,,0.001627,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.6e-06,8.4e-06,0.0019816,0.2499258,47.478718,1.9920285,1.0162847
800,,,,0.0218112,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),3.04e-05,0.000517,0.5410752,0.999999,195.15031,1.4633157,1.0102588
801,,,,0.013131,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1e-06,3.2e-06,0.0043562,0.6411286,42.34753,1.8128937,1.036891
802,,,,0.0056988,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),3e-06,1.72e-05,0.0302996,0.9625232,55.616283,1.7176207,1.0099112
803,,,,0.0023342,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),9e-06,5.52e-05,0.1533448,0.99548,152.42935,1.608519,1.0152051
804,,,,0.1496534,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),7.8e-06,8.24e-05,0.4059552,0.9998904,102.92429,1.5012351,1.017313
805,,,,0.0097492,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),4e-07,2.2e-06,0.0016256,0.2435872,35.974663,1.9220906,1.0214835
806,,,,0.004631,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.2e-06,3.6e-06,0.005755,0.1851084,33.02368,1.9821954,1.0225811
807,,,,0.0144124,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.2e-06,4.2e-06,0.0043526,0.4706166,36.36949,1.8687025,1.0241926
808,,,,0.009203,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.2e-06,2.6e-06,0.0016112,0.2610396,23.205374,1.9443512,1.0292454
809,,,,0.012674,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.4e-06,5.8e-06,0.0196938,0.7782614,32.235943,1.7468569,1.0170069
810,,,,0.0007188,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.4e-06,5.8e-06,0.0134952,0.9514178,50.345154,1.6921847,1.0268822
