i,lid_1,rc_1,exp_2|1,distcomp,dataset,workload_description,eps_0.05,eps_0.1,eps_0.5,eps_1,lid_10,rc_10,exp_20|10
0,10.05234,1.7031853,1.0435098,0.1513094,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2e-07,0.0001162,0.2895392,,,
1,557.92285,1.3673339,1.0049953,0.1167892,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2.2e-05,0.0004586,0.9035472,1.0,,,
2,13.986126,1.5346634,1.0049989,0.1687424,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2e-07,0.0170822,0.9637958,,,
3,44.979454,1.3018115,1.0007648,0.1010242,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",1e-06,0.000102,0.946444,1.0,,,
4,5.784761,1.5448565,1.0266765,0.1317416,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2e-07,3.6e-06,0.122538,,,
5,5.0847397,1.4545312,1.0019609,0.1266446,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2e-07,1e-06,0.155751,,,
6,3.5335906,1.6293831,1.009861,0.1094478,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2e-07,2e-07,3.48e-05,,,
7,5.351193,1.5096916,1.0023811,0.1381422,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2e-07,4e-06,0.0977602,,,
8,52.977146,1.4388989,1.00135,0.1093664,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",8e-07,1.62e-05,0.5209086,0.999999,,,
9,10.826983,1.6490142,1.0072227,0.1010204,text2image-angular-200-10M,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2e-07,0.0013898,0.544657,,,
0,3395.807,1.0768042,1.0020894,0.071846,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",0.0664656,0.877315,1.0,1.0,,,
1,261.9135,1.1411184,1.0018725,0.226562,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",0.0010676,0.1064746,1.0,1.0,,,
2,169.75003,1.4098972,1.0009286,0.6126368,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",1.8e-05,0.0002194,0.7744892,1.0,,,
3,17.328455,1.3442774,1.000611,0.0735926,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",2e-07,2e-07,0.4832658,0.9999996,,,
4,12.462403,1.4154315,1.0005774,0.531393,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",2e-07,2e-07,0.0807522,0.9974696,,,
5,8.126747,1.4260947,1.0148659,0.275881,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",2e-07,2e-07,0.0032896,0.9016694,,,
6,12.269841,1.412549,1.0120258,0.8170028,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",2e-07,2e-07,0.0680676,0.9983906,,,
7,13.078392,1.4091042,1.008466,0.6302816,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",2e-07,2e-07,0.1063904,0.9973496,,,
8,1816.7869,1.1970568,1.0032799,0.0899132,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",0.0003932,0.0272356,0.999916,1.0,,,
9,2076.2039,1.1311185,1.0006185,0.551567,text2image-angular-200-10M,"Empirical(faiss_hnsw,0.1,0.2)",0.0040568,0.2057374,1.0,1.0,,,
0,,,,0.001444,text2image-angular-200-10M,"Annealing(rc, easy)",1e-06,3.4e-06,0.0003758,0.0034224,32.03334,3.4888384,1.0315998
1,,,,0.0013556,text2image-angular-200-10M,"Annealing(rc, easy)",1.6e-06,2.6e-06,5.88e-05,0.0008226,36.40613,3.0439575,1.0779514
2,,,,0.0022026,text2image-angular-200-10M,"Annealing(rc, easy)",2e-07,2e-07,2e-07,2e-07,8.244098,4.967079,1.064333
3,,,,0.0011084,text2image-angular-200-10M,"Annealing(rc, easy)",2e-07,2e-07,2e-07,2e-07,5.6789465,4.00108,1.0776324
4,,,,0.0011708,text2image-angular-200-10M,"Annealing(rc, easy)",2e-07,2e-07,2.4e-06,7.8e-06,12.887752,5.407828,1.2245871
5,,,,0.0009666,text2image-angular-200-10M,"Annealing(rc, easy)",2e-07,2e-07,1.2e-06,3.84e-05,14.549617,6.3359437,1.0341388
6,,,,0.0016022,text2image-angular-200-10M,"Annealing(rc, easy)",2e-07,2e-07,2e-07,2e-07,6.8758683,4.2235456,1.1932161
7,,,,0.001693,text2image-angular-200-10M,"Annealing(rc, easy)",2e-07,2e-07,5.8e-06,9.18e-05,18.947205,4.0519433,1.0971013
8,,,,0.0009726,text2image-angular-200-10M,"Annealing(rc, easy)",2e-07,4e-07,5.3e-05,0.0003372,24.119337,3.2637436,1.0303986
9,,,,0.0009744,text2image-angular-200-10M,"Annealing(rc, easy)",4e-07,4e-07,2.2e-06,3.24e-05,9.609106,4.043017,1.1145744
0,,,,0.005216,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,2e-07,2e-07,2e-07,6.0290656,4.6991014,1.1198375
1,,,,0.0012826,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,2e-07,2e-07,2e-07,8.169207,4.616465,1.0840716
2,,,,0.0016928,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,4e-07,9.94e-05,0.0007586,27.325874,4.3471236,1.0734926
3,,,,0.0025536,text2image-angular-200-10M,"Annealing(rc, medium)",4e-07,1.8e-06,0.000457,0.0154644,39.189583,2.6613324,1.0310328
4,,,,0.0011708,text2image-angular-200-10M,"Annealing(rc, medium)",4e-07,4e-07,2.6e-06,1.32e-05,10.186179,4.49405,1.1507142
5,,,,0.0009666,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,4e-07,5.46e-05,0.0001174,27.72499,4.514874,1.0228966
6,,,,0.0016022,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,2e-07,2e-07,2.4e-06,13.356998,3.3374484,1.106948
7,,,,0.001693,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,2e-07,2e-07,2e-07,3.551548,4.5932965,1.0829196
8,,,,0.0008164,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,2e-07,5e-06,4.5e-05,21.352938,3.082376,1.1102431
9,,,,0.002195,text2image-angular-200-10M,"Annealing(rc, medium)",2e-07,2e-07,2.6e-06,0.0002056,16.45693,2.6492438,1.0604587
0,,,,0.0018178,text2image-angular-200-10M,"Annealing(rc, hard)",4.2e-06,1.5e-05,0.0005982,0.0078004,114.502884,2.8048718,1.020729
1,,,,0.0017092,text2image-angular-200-10M,"Annealing(rc, hard)",2e-07,2e-07,2e-07,2e-06,8.763739,2.7505782,1.0890375
2,,,,0.0026084,text2image-angular-200-10M,"Annealing(rc, hard)",2e-07,2e-07,2e-07,5.92e-05,14.697242,2.9996586,1.0364481
3,,,,0.0028504,text2image-angular-200-10M,"Annealing(rc, hard)",2e-07,1.4e-06,0.0003526,0.0112882,28.353138,2.7251208,1.0728625
4,,,,0.0011708,text2image-angular-200-10M,"Annealing(rc, hard)",2e-07,2e-07,4.2e-06,0.0001078,11.317113,2.722541,1.0337992
5,,,,0.0009666,text2image-angular-200-10M,"Annealing(rc, hard)",2.8e-06,9.8e-06,0.000117,0.0014212,85.60528,2.7633898,1.0205164
6,,,,0.0013008,text2image-angular-200-10M,"Annealing(rc, hard)",1.2e-06,3e-06,0.0002688,0.0025846,36.347042,2.7224653,1.038554
7,,,,0.0027612,text2image-angular-200-10M,"Annealing(rc, hard)",2.2e-06,3.4e-06,0.0001354,0.0028514,73.733116,2.7353497,1.0733966
8,,,,0.0038214,text2image-angular-200-10M,"Annealing(rc, hard)",2e-07,2e-07,2e-07,2e-07,22.76766,2.8856635,1.0769334
9,,,,0.001707,text2image-angular-200-10M,"Annealing(rc, hard)",2e-07,2e-07,5.4e-05,0.0021518,19.175507,2.7250896,1.034091
0,,,,0.001719,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,2e-07,6e-07,5.4856772,6.491771,1.1580399
1,,,,0.0008298,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,4e-07,8e-07,4.385335,6.6997647,1.0903507
2,,,,0.0010426,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,2e-07,2e-07,3.9101565,6.2832217,1.0933535
3,,,,0.0015174,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,4e-07,2.2e-06,5.2e-06,7.2451553,6.85425,1.1947198
4,,,,0.0012064,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,2e-07,2e-07,3.1746776,6.901742,1.0825756
5,,,,0.0013112,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,2e-07,4e-07,3.1178176,6.6675205,1.0874434
6,,,,0.0016974,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,2e-07,2e-07,3.7823453,6.371264,1.1212163
7,,,,0.0012018,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,2e-07,2e-07,3.046991,6.692492,1.1764833
8,,,,0.0008052,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,6e-07,8.2e-06,6.271986,6.7111773,1.0315437
9,,,,0.000951,text2image-angular-200-10M,"SGD(rc, easy)",2e-07,2e-07,2e-07,4e-07,4.8062477,6.4344063,1.0904512
0,,,,0.0010482,text2image-angular-200-10M,"SGD(rc, medium)",2e-07,2e-07,2e-07,2e-07,4.3865533,4.8970404,1.1256245
1,,,,0.0011652,text2image-angular-200-10M,"SGD(rc, medium)",2e-07,2e-07,2e-07,2e-07,4.611166,4.658403,1.0599152
2,,,,0.0007432,text2image-angular-200-10M,"SGD(rc, medium)",2e-07,2e-07,4e-07,3e-06,6.988292,4.5885715,1.0936418
3,,,,0.001151,text2image-angular-200-10M,"SGD(rc, medium)",4e-07,8e-07,3.8e-06,1.04e-05,6.9227176,4.6414742,1.1343809
4,,,,0.0012064,text2image-angular-200-10M,"SGD(rc, medium)",2e-07,2e-07,2e-07,2e-07,3.8061576,4.9440837,1.0913275
5,,,,0.000915,text2image-angular-200-10M,"SGD(rc, medium)",2e-07,2e-07,2e-07,2e-07,3.0849564,4.585724,1.245398
6,,,,0.0008716,text2image-angular-200-10M,"SGD(rc, medium)",2e-07,2e-07,4e-07,1.66e-05,11.3986435,4.669298,1.0495089
7,,,,0.001548,text2image-angular-200-10M,"SGD(rc, medium)",2e-07,2e-07,2e-07,2e-07,5.5409493,4.77852,1.1684564
8,,,,0.001413,text2image-angular-200-10M,"SGD(rc, medium)",2e-07,2e-07,2e-07,2e-07,3.8848362,4.523349,1.1023699
9,,,,0.0030326,text2image-angular-200-10M,"SGD(rc, medium)",2e-07,2e-07,2e-07,6e-07,8.495636,4.8444953,1.0953764
0,,,,0.0026026,text2image-angular-200-10M,"SGD(rc, hard)",2e-07,2e-07,4e-07,2.4e-06,6.9411845,2.8624241,1.0899681
1,,,,0.0007828,text2image-angular-200-10M,"SGD(rc, hard)",2e-07,2e-07,6e-07,5.6e-06,6.596313,2.951977,1.0701711
2,,,,0.017661,text2image-angular-200-10M,"SGD(rc, hard)",2e-07,2e-07,4e-07,8e-07,5.649211,2.7576804,1.049174
3,,,,0.0013114,text2image-angular-200-10M,"SGD(rc, hard)",4e-07,4e-07,1e-06,6.6e-06,4.6312523,2.9735463,1.0458165
4,,,,0.0028246,text2image-angular-200-10M,"SGD(rc, hard)",2e-07,2e-07,4e-07,2.6e-06,5.9491754,2.9296138,1.0458311
5,,,,0.0030234,text2image-angular-200-10M,"SGD(rc, hard)",2e-07,2e-07,4e-07,8e-07,5.457588,2.9903815,1.0534071
6,,,,0.0131592,text2image-angular-200-10M,"SGD(rc, hard)",2e-07,2e-07,4e-07,6e-07,5.4757686,2.9307787,1.036885
7,,,,0.004272,text2image-angular-200-10M,"SGD(rc, hard)",2e-07,2e-07,2e-07,2e-07,5.5666714,2.9673338,1.0517308
8,,,,0.001413,text2image-angular-200-10M,"SGD(rc, hard)",2e-07,2e-07,2e-07,8e-07,5.9990463,2.917535,1.10714
9,,,,0.0013674,text2image-angular-200-10M,"SGD(rc, hard)",4e-07,4e-07,6e-06,0.000109,10.152881,2.8302345,1.035703
0,,,,0.0503478,text2image-angular-200-10M,"SGD(rc, hard+)",4e-07,4e-07,7e-06,0.000424,9.964102,2.0131547,1.0881462
1,,,,0.0251118,text2image-angular-200-10M,"SGD(rc, hard+)",2e-07,2e-07,1.38e-05,0.00376,19.588726,1.8600504,1.0471007
2,,,,0.0615428,text2image-angular-200-10M,"SGD(rc, hard+)",2e-07,2e-07,1.16e-05,0.0081486,14.717671,1.8459563,1.0368177
3,,,,0.0073658,text2image-angular-200-10M,"SGD(rc, hard+)",2e-07,2e-07,2e-07,1.6e-06,9.028494,1.8732607,1.0379963
4,,,,0.0066906,text2image-angular-200-10M,"SGD(rc, hard+)",2e-07,2e-07,3.2e-06,0.0013948,15.314633,1.8525239,1.0435959
5,,,,0.0017068,text2image-angular-200-10M,"SGD(rc, hard+)",6e-07,2.2e-06,0.0009194,0.203434,31.824015,1.9247024,1.0373713
6,,,,0.020866,text2image-angular-200-10M,"SGD(rc, hard+)",2e-07,2e-07,2e-07,4e-07,10.056308,1.9095991,1.0202355
7,,,,0.005299,text2image-angular-200-10M,"SGD(rc, hard+)",2e-07,2e-07,2e-07,2e-07,8.855414,1.9153063,1.0289958
8,,,,0.0097654,text2image-angular-200-10M,"SGD(rc, hard+)",2e-07,2e-07,6e-07,5.5e-05,9.35081,2.0070217,1.0570346
9,,,,0.0242416,text2image-angular-200-10M,"SGD(rc, hard+)",2e-07,2e-07,4e-07,8.8e-06,7.310471,1.922624,1.0544779
0,,,,0.0018444,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,8.218716,4.5760474,1.0963433
1,,,,0.0016534,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,2.1428754,50.07077,1.5875489
2,,,,0.0007422,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,10.28676,3.476637,1.0667355
3,,,,0.0022578,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,17.272436,5.2428107,1.0782492
4,,,,0.0014054,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,6.985433,9.502575,1.0967554
5,,,,0.0015068,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,21.385977,3.44796,1.034779
6,,,,0.0040148,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,14.060469,2.8141274,1.0589703
7,,,,0.0032308,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,11.329477,3.6952114,1.0661784
8,,,,0.0121478,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,7.9885626,3.2448475,1.0979145
9,,,,0.0173812,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,35.691803,2.8176873,1.0768187
10,,,,0.0121038,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,19.843466,2.4502733,1.0478553
11,,,,0.0010106,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,12.928724,4.0886297,1.0772755
12,,,,0.0042214,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,6.7632966,3.63672,1.1104513
13,,,,0.0011576,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,6.6098676,4.2814946,1.0858172
14,,,,0.0017156,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,13.3854885,5.0332785,1.0487397
15,,,,0.001576,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,7.5286098,6.8993134,1.1377388
16,,,,0.0018416,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,8.260426,3.331272,1.0363833
17,,,,0.003914,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,16.805515,7.0920534,1.0570443
18,,,,0.0124632,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,15.428375,3.5027812,1.0489807
19,,,,0.0021052,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,11.900557,3.176627,1.0471684
20,,,,0.0028244,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,7.689707,3.5610967,1.0704716
21,,,,0.0019416,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,6.248703,3.4339533,1.0919197
22,,,,0.0014912,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,19.531893,10.637053,1.149486
23,,,,0.0007672,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,10.123678,2.9107232,1.0736017
24,,,,0.0242062,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,23.392826,2.4247503,1.0562708
25,,,,0.0096114,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,12.015201,3.1688943,1.0785517
26,,,,0.0055126,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,13.676795,3.8722668,1.0753893
27,,,,0.0007146,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,5.5689855,7.1738486,1.1694546
28,,,,0.0092594,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,9.469567,2.7467763,1.0952069
29,,,,0.0208266,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,6.461521,3.3734276,1.2281772
30,,,,0.0035508,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,13.748028,3.5354974,1.0781701
31,,,,0.0049348,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,10.418333,4.233955,1.1005667
32,,,,0.003662,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,12.543263,7.446301,1.0759132
33,,,,0.000868,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,23.392288,2.8647954,1.0606676
34,,,,0.001445,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,17.897392,11.643893,1.0770693
35,,,,0.0034872,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,10.223814,3.0661573,1.0427276
36,,,,0.0040198,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,18.278683,2.7417092,1.0594536
37,,,,0.0007944,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,13.289444,3.5258622,1.0488999
38,,,,0.004404,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,11.19073,4.2767596,1.140577
39,,,,0.0008396,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,5.9190187,12.422258,1.1335821
40,,,,0.0020544,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,3.8399556,3.347697,1.1097493
41,,,,0.0008608,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,9.492005,5.042839,1.082964
42,,,,0.0022318,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,11.0353155,5.309611,1.0403689
43,,,,0.0016326,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,6.3924522,4.4188113,1.1094793
44,,,,0.00519,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,7.053146,4.0895185,1.1385251
45,,,,0.0016416,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,24.21205,3.340911,1.143925
46,,,,0.0015296,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,21.601274,5.632797,1.0492128
47,,,,0.0007534,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,15.025175,5.727949,1.0385643
48,,,,0.0095762,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,15.124758,5.0990543,1.0423175
49,,,,0.001096,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,6.610183,8.393449,1.0849307
50,,,,0.0033402,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,17.662004,2.6659346,1.0267422
51,,,,0.0039548,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,24.120268,3.9331355,1.049242
52,,,,0.0050918,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,16.22617,3.9154766,1.0677507
53,,,,0.0020916,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,11.6845875,7.2646284,1.0905746
54,,,,0.0093658,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,9.765018,3.8624399,1.0715271
55,,,,0.0075024,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,16.112371,3.8059127,1.1030104
56,,,,0.0018406,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,2.0447567,8.47524,1.3084109
57,,,,0.0013244,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,15.288412,2.8505762,1.0425522
58,,,,0.0022318,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,11.939676,2.9961903,1.0709965
59,,,,0.0123518,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,14.046309,3.0528057,1.0381062
60,,,,0.0013208,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,8.4192095,5.9392457,1.0623939
61,,,,0.0035036,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,17.222403,2.8244545,1.0392132
62,,,,0.0016864,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,12.486736,5.0824523,1.1047056
63,,,,0.0061172,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,26.009758,2.5614283,1.0509901
64,,,,0.0016518,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,9.150105,7.246866,1.089832
65,,,,0.0012378,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,21.531374,3.1214552,1.051184
66,,,,0.0033456,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,16.823597,3.3929882,1.0674821
67,,,,0.0045154,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,15.449122,3.7447202,1.0475738
68,,,,0.0017612,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,22.543327,3.913543,1.0549052
69,,,,0.0011442,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,18.937614,5.969109,1.0665168
70,,,,0.0013964,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,5.898058,4.0786247,1.0609684
71,,,,0.0022862,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,9.09608,5.876954,1.0523602
72,,,,0.0010844,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,8.277449,8.694959,1.1310786
73,,,,0.0067312,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,12.545266,3.6881983,1.1111634
74,,,,0.0089036,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,9.622776,3.9761252,1.146495
75,,,,0.001491,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,8.081814,5.922252,1.0859338
76,,,,0.0046156,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,6.9903827,2.7082937,1.0525273
77,,,,0.001133,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,8.029912,3.9615383,1.062131
78,,,,0.0040758,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,17.276142,5.763005,1.0851039
79,,,,0.0013572,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,16.255812,4.0724845,1.0486573
80,,,,0.0341324,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,16.134031,2.6138155,1.0249586
81,,,,0.0048684,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,7.246632,4.750165,1.1325549
82,,,,0.0032168,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,28.990822,2.591238,1.0403098
83,,,,0.0019158,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,18.57542,4.3485765,1.0503203
84,,,,0.000893,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,13.373705,5.5922947,1.0852665
85,,,,0.0055094,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,3.943691,4.706452,1.0858359
86,,,,0.0017102,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,17.669727,2.737879,1.0515671
87,,,,0.0007224,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,13.203837,5.3482523,1.1123233
88,,,,0.0008136,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,10.258212,3.145769,1.0549831
89,,,,0.0010526,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,16.109163,3.4760926,1.0470918
90,,,,0.002244,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,14.2513685,3.8824432,1.1062917
91,,,,0.0010066,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,13.510137,5.532971,1.0405738
92,,,,0.0016704,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,6.9902105,3.8082712,1.1013114
93,,,,0.0014302,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,12.921497,4.864119,1.057374
94,,,,0.0154392,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,16.207485,3.2437794,1.051798
95,,,,0.0011336,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,21.729668,3.6548395,1.0660217
96,,,,0.000748,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,4.625926,13.367371,1.344286
97,,,,0.0015868,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,9.43225,6.290607,1.109141
98,,,,0.0455146,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,20.158447,2.3332078,1.0362068
99,,,,0.0014538,text2image-angular-200-10M,GaussianNoise(easy),2e-07,2e-07,2e-07,2e-07,21.510311,3.010216,1.061758
