i,lid_1,rc_1,exp_2|1,distcomp,dataset,workload_description,eps_0.05,eps_0.1,eps_0.5,eps_1
8,110.61459264571928,2.4847288,1.0107433,0.0062468,astro-256-100m,"Empirical(messi,0.1,0.2)",8e-07,1.6e-06,1.8e-06,3.2e-06
9,5.411619801589935,1.5908225,1.2975446,0.0012822,astro-256-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,4e-07,5.64e-05
0,28.61415213576325,1.156991,1.0010259,0.1427258,astro-256-100m,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2.58e-05,1.0,1.0
1,2469.510609704963,1.0880458,1.0006454,0.1828696,astro-256-100m,"Empirical(faiss_ivf,0.1,0.2)",0.0226254,0.7147928,1.0,1.0
2,461.0415621130227,1.0072047,1.0000021,0.0913128,astro-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
3,3254.7829966795466,1.0209643,1.0000436,0.1000128,astro-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
4,1962.624309606228,1.1372992,1.0010518,0.1202882,astro-256-100m,"Empirical(faiss_ivf,0.1,0.2)",0.0008336,0.0837088,1.0,1.0
5,3531.289339258463,1.1349764,1.0009148,0.1617522,astro-256-100m,"Empirical(faiss_ivf,0.1,0.2)",2.2e-06,0.0230938,1.0,1.0
6,369.55482596244383,1.102914,1.0003926,0.1118116,astro-256-100m,"Empirical(faiss_ivf,0.1,0.2)",0.0044282,0.3441716,1.0,1.0
7,35.183021060823265,1.1287334,1.0025373,0.1640514,astro-256-100m,"Empirical(faiss_ivf,0.1,0.2)",2e-07,0.0003968,1.0,1.0
8,729.5944173286364,1.0073409,1.0000014,0.0148468,astro-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
9,426332.74939586536,1.015494,1.0000072,0.1175276,astro-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
0,5.863549545953847,2.1781466,1.0938656,0.0008396,deep1b-96-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,4e-07,0.000555
1,6.06220609862295,2.2005186,1.1167638,0.0007898,deep1b-96-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,4e-07,0.00069
2,8.26613844273342,2.3113086,1.1949121,0.0009002,deep1b-96-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,4e-07,0.000419
3,4.495039565189492,1.9065444,1.0299286,0.0011516,deep1b-96-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,2e-07,0.0001682
4,6.596914801433042,3.0169666,1.3108826,0.0009068,deep1b-96-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,4e-07,4.2e-06
5,4.99481783529222,2.2146964,1.1103432,0.000716,deep1b-96-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,4e-07,1.76e-05
6,30.08044177894916,2.3467045,1.0923834,0.0009372,deep1b-96-100m,"Empirical(messi,0.1,0.2)",2e-07,4e-07,0.0002302,0.020262
7,10.4957645956118,2.5372806,1.0148112,0.0010532,deep1b-96-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,3.78e-05,0.0010616
8,4.373105525715351,2.2337396,1.1194133,0.0009082,deep1b-96-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,2e-07,1.18e-05
9,29.48026329734046,2.786865,1.0230254,0.0008376,deep1b-96-100m,"Empirical(messi,0.1,0.2)",2e-07,6e-07,2.6e-05,0.000419
0,828.2331292496083,1.0429422,1.0001935,0.100824,deep1b-96-100m,"Empirical(faiss_ivf,0.1,0.2)",0.663007,0.99998,1.0,1.0
1,436.7870549772137,1.0906342,1.0003549,0.1825024,deep1b-96-100m,"Empirical(faiss_ivf,0.1,0.2)",0.0152834,0.5849254,1.0,1.0
2,817.6770552740571,1.0233076,1.0000201,0.1008048,deep1b-96-100m,"Empirical(faiss_ivf,0.1,0.2)",0.998514,1.0,1.0,1.0
3,6860.751613042676,1.1400726,1.0025275,0.1295272,deep1b-96-100m,"Empirical(faiss_ivf,0.1,0.2)",0.0013422,0.0998252,1.0,1.0
4,9918.97279767393,1.1686637,1.0016305,0.121329,deep1b-96-100m,"Empirical(faiss_ivf,0.1,0.2)",0.000978,0.0501364,1.0,1.0
5,401.1895567368086,1.0262158,1.00002,0.1025324,deep1b-96-100m,"Empirical(faiss_ivf,0.1,0.2)",0.988749,1.0,1.0,1.0
6,80185.9994884778,1.0196477,1.0000263,0.1518518,deep1b-96-100m,"Empirical(faiss_ivf,0.1,0.2)",0.9999948,1.0,1.0,1.0
7,6005.215518357075,1.0161203,1.0000114,0.1001944,deep1b-96-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
8,895.2985308654173,1.0313889,1.000041,0.1005556,deep1b-96-100m,"Empirical(faiss_ivf,0.1,0.2)",0.9487172,1.0,1.0,1.0
9,14280.66706434776,1.0076922,1.0000032,0.055422,deep1b-96-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
0,17.44618449242956,1.5326793,1.0068073,0.0010716,seismic-256-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,0.0418354,0.9942528
1,1.2910830305685002,1.7043612,1.016626,0.0008678,seismic-256-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,2e-07,2e-07
2,73.30607730612263,1.8195347,1.2436631,0.0036838,seismic-256-100m,"Empirical(messi,0.1,0.2)",4e-07,4e-07,0.0077254,0.8603538
3,15.26316185696076,1.6374092,1.1351614,0.0155956,seismic-256-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,0.0060886,0.8936752
4,2.432908944077168,1.3462657,1.0004472,0.0019482,seismic-256-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,2e-07,2e-07
5,1004.4941330196576,1.3748517,1.0286493,0.0016412,seismic-256-100m,"Empirical(messi,0.1,0.2)",8.8e-06,0.0003146,0.9673682,1.0
6,935.1885036478072,1.257203,1.0109776,0.006758,seismic-256-100m,"Empirical(messi,0.1,0.2)",6.18e-05,0.0041268,1.0,1.0
7,12.915726871729516,1.8130147,1.1154766,0.0702426,seismic-256-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,0.0229132,0.217095
8,1.686894086595865,1.710857,1.1215155,0.0008276,seismic-256-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,2e-07,2e-07
9,2.30938474691454,1.7778147,1.2057242,0.0010692,seismic-256-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,2e-07,2e-07
0,552.6362068511843,1.0050371,1.0000063,0.0045322,seismic-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
1,2174.404405341431,1.0044942,1.0000058,0.0375216,seismic-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
2,11.839194518912334,1.1733018,1.0005941,0.1220376,seismic-256-100m,"Empirical(faiss_ivf,0.1,0.2)",2e-07,2e-07,0.9961446,1.0
3,634.248560137743,1.0047597,1.000002,0.0157548,seismic-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
4,88.79848136280387,1.1701045,1.0065237,0.1578288,seismic-256-100m,"Empirical(faiss_ivf,0.1,0.2)",9.8e-06,0.0082492,1.0,1.0
5,889.4936632154602,1.0031068,1.0000062,0.0437182,seismic-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
6,767.1069356996961,1.0052257,1.0000007,0.00558,seismic-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
7,29.697180324256127,1.1698891,1.0040303,0.1011106,seismic-256-100m,"Empirical(faiss_ivf,0.1,0.2)",2e-07,1.72e-05,1.0,1.0
8,1531.094755702079,1.0028161,1.0000044,0.028279,seismic-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
9,48471.97101111418,1.0052208,1.0001495,0.1994588,seismic-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
0,3449.49378273204,1.3153111,1.0478048,0.0026956,rw-256-100m,"Empirical(messi,0.1,0.2)",8e-07,0.0001408,0.9997972,1.0
1,360.1241432417893,1.3858191,1.0134442,0.000658,rw-256-100m,"Empirical(messi,0.1,0.2)",1.28e-05,0.0006362,0.7332368,1.0
2,591.2276424084829,1.5029286,1.02294,0.0044846,rw-256-100m,"Empirical(messi,0.1,0.2)",1.4e-06,0.0005054,0.474939,1.0
3,525.9631592759606,1.3088422,1.019663,0.0013812,rw-256-100m,"Empirical(messi,0.1,0.2)",2.04e-05,0.0020822,0.9976562,1.0
4,42140.04096206286,1.3674386,1.0135623,0.0015464,rw-256-100m,"Empirical(messi,0.1,0.2)",0.0003476,0.0090718,0.835341,1.0
5,8618.065033527562,1.4032701,1.0367479,0.00068,rw-256-100m,"Empirical(messi,0.1,0.2)",1.2e-06,0.0001136,0.7661036,1.0
6,352.1544263442706,1.4084076,1.0304989,0.0274908,rw-256-100m,"Empirical(messi,0.1,0.2)",2.2e-06,0.0010896,0.5920048,1.0
7,65.64932763265591,1.6152272,1.0512244,0.0028562,rw-256-100m,"Empirical(messi,0.1,0.2)",4e-07,6.4e-06,0.3438188,0.8779872
8,347.2454611559942,1.5701582,1.0359061,0.000916,rw-256-100m,"Empirical(messi,0.1,0.2)",1.4e-06,0.0001958,0.4013054,0.9999998
9,127.74138356244076,1.6413531,1.0276175,0.000984,rw-256-100m,"Empirical(messi,0.1,0.2)",1.6e-06,0.0006354,0.365152,0.7841698
0,1363.6147960475507,1.0149086,1.000069,0.1240182,rw-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
1,6387.424479749052,1.0365376,1.0010276,0.1059854,rw-256-100m,"Empirical(faiss_ivf,0.1,0.2)",0.9157728,1.0,1.0,1.0
2,196583.05394686144,1.0096765,1.0000855,0.1214592,rw-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
3,329052.1722566164,1.0097586,1.0001105,0.192432,rw-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
4,17286.6107642296,1.0362917,1.000316,0.1343982,rw-256-100m,"Empirical(faiss_ivf,0.1,0.2)",0.8703452,1.0,1.0,1.0
5,856.5045426495147,1.0635724,1.0001886,0.1105712,rw-256-100m,"Empirical(faiss_ivf,0.1,0.2)",0.3292426,0.910242,1.0,1.0
6,104.87366902213826,1.1684651,1.0039821,0.1279418,rw-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.7e-05,0.005152,1.0,1.0
7,21932.801952264035,1.0117501,1.0000302,0.1063148,rw-256-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
8,2241.892691733036,1.0507541,1.0005035,0.119868,rw-256-100m,"Empirical(faiss_ivf,0.1,0.2)",0.4820298,0.9999998,1.0,1.0
9,1784.4044135159172,1.0372802,1.0003175,0.1085048,rw-256-100m,"Empirical(faiss_ivf,0.1,0.2)",0.6934786,1.0,1.0,1.0
