i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
452,43.26025072746266,2.0816207,1.0234236,0.002342,sald-128-100m,File(sald-128-1k),0.0779744,0.9999996,1.0
453,25.57686042318448,3.3734066,1.0210143,0.0017544,sald-128-100m,File(sald-128-1k),0.0014366,0.0800734,0.5171952
454,19.446269527998297,4.1659904,1.0244975,0.0064262,sald-128-100m,File(sald-128-1k),0.0068122,0.054406,0.1713036
455,33.48844150381485,3.3544703,1.0210602,0.0021978,sald-128-100m,File(sald-128-1k),0.002952,0.0936918,0.536982
456,188.29076048349722,1.3156517,1.0134197,0.096353,sald-128-100m,File(sald-128-1k),1.0,1.0,1.0
457,72.35418030091482,2.1403494,1.0115302,0.0015736,sald-128-100m,File(sald-128-1k),0.0719966,0.999756,1.0
458,22.163057606791202,2.8562868,1.0283347,0.0016144,sald-128-100m,File(sald-128-1k),0.0073154,0.2247986,0.7842264
459,24.807726164254856,2.2602406,1.035564,0.0054042,sald-128-100m,File(sald-128-1k),0.0701746,0.8201988,1.0
460,35.26988885408498,2.0701911,1.0246412,0.0013386,sald-128-100m,File(sald-128-1k),0.1105794,0.9946218,1.0
461,28.487623316862784,2.2140827,1.0344774,0.0044754,sald-128-100m,File(sald-128-1k),0.0637936,0.9071354,1.0
462,15.203248555130436,4.885277,1.0936626,0.0009244,sald-128-100m,File(sald-128-1k),0.0001302,0.0099552,0.0585478
463,19.874604445034123,8.233461,1.0459696,0.001576,sald-128-100m,File(sald-128-1k),0.0005742,0.0030592,0.0084054
464,48.21989181123266,3.083346,1.0179769,0.00334,sald-128-100m,File(sald-128-1k),0.0252956,0.2998086,0.7791158
465,20.618028585811842,2.2038271,1.0241352,0.0040694,sald-128-100m,File(sald-128-1k),0.0094138,0.7100768,1.0
466,23.467446993177887,4.470118,1.0461711,0.0011772,sald-128-100m,File(sald-128-1k),0.0005722,0.0116442,0.0879634
467,43.35506520666141,2.003893,1.0332764,0.0028918,sald-128-100m,File(sald-128-1k),0.2406192,0.9998774,1.0
468,48.79704525025724,2.0004787,1.0127993,0.0030696,sald-128-100m,File(sald-128-1k),0.1935838,1.0,1.0
469,17.30195763570176,4.027561,1.0471592,0.0021382,sald-128-100m,File(sald-128-1k),0.000303,0.0084106,0.0742858
470,39.33900779034359,2.131605,1.0286034,0.0126598,sald-128-100m,File(sald-128-1k),0.1672988,0.988484,1.0
471,16.90487082683922,1.7941458,1.0268623,0.00293,sald-128-100m,File(sald-128-1k),0.0673778,1.0,1.0
472,16.219134741609547,2.9538686,1.0245154,0.0051626,sald-128-100m,File(sald-128-1k),0.0107572,0.222244,0.6831832
473,32.98044630888495,6.7530785,1.0333098,0.0024924,sald-128-100m,File(sald-128-1k),0.0006264,0.003938,0.0131712
474,14.47523855203201,3.5274591,1.0461386,0.0046186,sald-128-100m,File(sald-128-1k),0.0016502,0.0530158,0.26549
475,62.32525874314806,1.3445724,1.0104424,0.1776316,sald-128-100m,File(sald-128-1k),1.0,1.0,1.0
476,89.2632257120556,1.2808781,1.010344,0.076344,sald-128-100m,File(sald-128-1k),1.0,1.0,1.0
477,20.941516518152174,2.6149902,1.0550618,0.0015244,sald-128-100m,File(sald-128-1k),0.0021826,0.4118816,0.9992282
478,25.861944674870255,3.058651,1.0416722,0.0094702,sald-128-100m,File(sald-128-1k),0.0134086,0.2105112,0.6499548
479,17.533318024682398,2.3886983,1.0327294,0.0021856,sald-128-100m,File(sald-128-1k),0.0036648,0.4745026,0.9999842
480,47.65037135075962,1.8480825,1.0159079,0.0256578,sald-128-100m,File(sald-128-1k),0.2848972,1.0,1.0
481,45.955572477511765,2.835531,1.0243536,0.0071548,sald-128-100m,File(sald-128-1k),0.032511,0.4149476,0.9162976
482,63.31911699125615,1.7677034,1.0215201,0.0072246,sald-128-100m,File(sald-128-1k),0.646392,1.0,1.0
483,129.79523843977577,1.353134,1.0088046,0.1348808,sald-128-100m,File(sald-128-1k),1.0,1.0,1.0
484,15.968768081738217,2.2572563,1.0275322,0.0007556,sald-128-100m,File(sald-128-1k),0.0048404,0.7076696,1.0
485,31.504561903301923,2.999469,1.0696542,0.0013472,sald-128-100m,File(sald-128-1k),0.0015078,0.1155588,0.931405
486,46.75461893431663,1.8235666,1.0120378,0.015003,sald-128-100m,File(sald-128-1k),0.4488848,1.0,1.0
487,12.48058678906317,2.272744,1.0385885,0.009437,sald-128-100m,File(sald-128-1k),0.0001206,0.1255404,0.5730718
488,12.476394217261303,4.0312014,1.1105597,0.0050614,sald-128-100m,File(sald-128-1k),5.14e-05,0.0023352,0.0402464
489,25.995467575245723,2.3621237,1.0124257,0.0017136,sald-128-100m,File(sald-128-1k),0.020095,0.7181052,1.0
490,35.21884583892844,2.7286,1.0231256,0.0022314,sald-128-100m,File(sald-128-1k),0.0183874,0.433025,0.9940174
491,53.90434728128248,2.573366,1.0192071,0.0019692,sald-128-100m,File(sald-128-1k),0.0209148,0.6419616,0.9999994
492,21.736353104628357,2.1365879,1.0142334,0.0200002,sald-128-100m,File(sald-128-1k),0.086871,0.838,1.0
493,15.032366819336731,1.9096388,1.0383773,0.0491926,sald-128-100m,File(sald-128-1k),0.003896,0.8005146,1.0
494,24.245073260963526,2.5779653,1.0268996,0.003049,sald-128-100m,File(sald-128-1k),0.0394834,0.4239784,1.0
495,90.31445784960329,1.429888,1.0062435,0.1169884,sald-128-100m,File(sald-128-1k),1.0,1.0,1.0
496,28.081383182078067,2.3040864,1.0181981,0.0043258,sald-128-100m,File(sald-128-1k),0.0160134,0.6221846,0.9999716
497,29.388951548196253,2.4505682,1.0369378,0.0062434,sald-128-100m,File(sald-128-1k),0.0235904,0.7483262,1.0
498,32.87233405671712,3.1716979,1.0281231,0.003792,sald-128-100m,File(sald-128-1k),0.0225034,0.2567032,0.6497424
499,47.1601895613487,2.2077672,1.0128723,0.015987,sald-128-100m,File(sald-128-1k),0.1820338,0.9210284,1.0
500,76.2730265346718,1.7083358,1.0114692,0.0221256,sald-128-100m,File(sald-128-1k),0.6802026,1.0,1.0
501,33.75614645626026,6.514458,1.0370765,0.002829,sald-128-100m,File(sald-128-1k),0.0006824,0.0050746,0.019001
502,35.13655103741708,2.7867825,1.0418627,0.0022776,sald-128-100m,File(sald-128-1k),0.0069674,0.3877928,0.988083
503,23.023821595531903,2.3186634,1.037638,0.003117,sald-128-100m,File(sald-128-1k),0.038013,0.5822846,1.0
504,74.40301047975288,2.2456262,1.007796,0.0076156,sald-128-100m,File(sald-128-1k),0.1939826,0.949733,1.0
505,33.21714211918164,1.7792267,1.0187457,0.0110012,sald-128-100m,File(sald-128-1k),0.4796032,1.0,1.0
506,55.8369434714464,1.9560436,1.015612,0.0028546,sald-128-100m,File(sald-128-1k),0.2538796,1.0,1.0
507,16.172705271145457,1.8578712,1.0192975,0.0135752,sald-128-100m,File(sald-128-1k),0.0692612,0.9995664,1.0
508,82.56531641010785,1.8069935,1.0121241,0.0029686,sald-128-100m,File(sald-128-1k),0.5627618,1.0,1.0
509,89.27015584116243,1.3111626,1.0165629,0.1557596,sald-128-100m,File(sald-128-1k),1.0,1.0,1.0
510,103.71748845468147,1.6181746,1.009365,0.0256634,sald-128-100m,File(sald-128-1k),0.935084,1.0,1.0
511,30.799377301408015,3.501755,1.0251877,0.014953,sald-128-100m,File(sald-128-1k),0.018629,0.1613492,0.4183772
512,37.135047272642396,4.078781,1.0227584,0.0030414,sald-128-100m,File(sald-128-1k),0.0115754,0.0846358,0.2379394
