iteration,rc,elapsed_s,query_index,dataset,data_limit,method,method_params
0,2.389356,16.984081983566284,9793506,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0533696,31.003318786621094,9793506,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,3.4051738,13.612351894378662,9766996,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0665462,25.75916290283203,9766996,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,4.1306033,12.657156705856323,9879404,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0585158,25.75963306427002,9879404,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.6655564,12.241166353225708,3801956,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0725445,26.793043613433838,3801956,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
2,1.0423602,40.352459192276,3801956,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.7156677,11.819680452346802,1713598,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0704094,23.48331332206726,1713598,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
2,1.0415959,36.006742000579834,1713598,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.692628,13.252840042114258,9232461,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0596472,26.16166591644287,9232461,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,3.336438,13.486093044281006,1048926,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0635471,26.226841688156128,1048926,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.9163847,12.664431810379028,2616923,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0520438,25.81126594543457,2616923,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,3.4906545,12.628465414047241,1387804,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0395398,26.341264963150024,1387804,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.2055302,12.268981695175171,3190970,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0683361,26.023808240890503,3190970,/mnt/hddhelp/workgen_data/sald-128-100m.bin,10000000,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
