i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
2,13.405508165053504,3.0140224,1.0651712,0.0042094981554928,glove-angular-104-1183514,"Annealing(rc, easy)",8.449414202113368e-07,8.449414202113368e-07,8.449414202113368e-07
3,4.490455238075958,2.8214405,1.1725705,0.0016214425853855,glove-angular-104-1183514,"Annealing(rc, easy)",8.449414202113368e-07,4.224707101056684e-06,1.5208945563804062e-05
4,21.180851802513224,2.8234327,1.0567094,0.0019492798564275,glove-angular-104-1183514,"Annealing(rc, easy)",0.0013561309794391,0.0307600924027937,0.8057183945437063
5,39.644573755482696,2.6520603,1.14278,0.0027671831511921,glove-angular-104-1183514,"Annealing(rc, easy)",0.0032428851707711,0.182876586166281,0.9756817409848976
6,32.77502696112492,2.2226477,1.0967711,0.0019264664380818,glove-angular-104-1183514,"Annealing(rc, easy)",0.0095816357051965,0.7630201248147466,0.9997558119295588
7,15.727613683845687,2.820853,1.137466,0.002654805942304,glove-angular-104-1183514,"Annealing(rc, easy)",7.942449349986565e-05,0.0032369705808296,0.1578130888185522
8,23.93756677540105,2.766427,1.2396774,0.0081334061109543,glove-angular-104-1183514,"Annealing(rc, easy)",0.0002061657065315,0.0361254704211357,0.603494339737426
9,22.81414880067388,2.8190112,1.0841113,0.001731284970013,glove-angular-104-1183514,"Annealing(rc, easy)",0.0005323130947331,0.0363299462448268,0.8220113999496415
0,8.378378000461437,2.2667437,1.0488149,0.0731110912080465,glove-angular-104-1183514,"Annealing(rc, medium)",0.0,0.0,0.0
1,28.37044065261919,2.2319639,1.0630602,0.0044655154058169,glove-angular-104-1183514,"Annealing(rc, medium)",1.0,1.0,1.0
2,6.205444589076121,2.378235,1.0528585,0.0042094981554928,glove-angular-104-1183514,"Annealing(rc, medium)",1.0,1.0,1.0
3,48.74217776851322,2.118329,1.1167746,0.0178738908031506,glove-angular-104-1183514,"Annealing(rc, medium)",1.0,1.0,1.0
4,35.580900115949206,2.1957455,1.0560552,0.0041368331933547,glove-angular-104-1183514,"Annealing(rc, medium)",1.0,1.0,1.0
5,29.702106579340622,2.2434676,1.038848,0.0240284441079699,glove-angular-104-1183514,"Annealing(rc, medium)",1.0,1.0,1.0
6,53.157365488439495,2.1924326,1.0269492,0.0032969614216646,glove-angular-104-1183514,"Annealing(rc, medium)",1.0,1.0,1.0
7,15.948326383624613,2.1934526,1.0320936,0.0060235873846866,glove-angular-104-1183514,"Annealing(rc, medium)",1.0,1.0,1.0
8,18.830706225806598,2.2212014,1.0663937,0.0094092676554734,glove-angular-104-1183514,"Annealing(rc, medium)",1.0,1.0,1.0
9,32.44597998574693,2.1941068,1.080347,0.0020456031783316,glove-angular-104-1183514,"Annealing(rc, medium)",1.0,1.0,1.0
0,36.74284955449517,1.6043662,1.022061,0.0936955540872351,glove-angular-104-1183514,"Annealing(rc, hard)",0.0115697828669538,0.5085220791642515,0.9881784245898232
1,38.3890274615084,1.707679,1.0226007,0.025344017899239,glove-angular-104-1183514,"Annealing(rc, hard)",0.001523429380641,0.1442044623046284,0.7699858218829688
2,33.81119730608764,1.7013265,1.035252,0.4210748668794792,glove-angular-104-1183514,"Annealing(rc, hard)",0.0046623867567261,0.3398506481545634,0.9751823806055526
3,40.82268913046604,1.6056639,1.0273846,0.2653589226658915,glove-angular-104-1183514,"Annealing(rc, hard)",0.0119187436735011,0.5546533458835299,0.9944318360408072
4,53.41426279964041,1.6498581,1.028117,0.0176060443729436,glove-angular-104-1183514,"Annealing(rc, hard)",0.0040176964531049,0.3470233558707374,0.9709517589145544
5,31.40432623921584,1.6192231,1.0139349,0.4583866350545916,glove-angular-104-1183514,"Annealing(rc, hard)",0.0023624562109108,0.260087333145193,0.9335335281204954
6,68.6788883620988,1.6364213,1.0179127,0.5874962188871445,glove-angular-104-1183514,"Annealing(rc, hard)",0.014789009677959,0.5389002580451098,0.9884327519573068
7,17.250544274973205,1.7110112,1.0163307,0.1620808879320396,glove-angular-104-1183514,"Annealing(rc, hard)",7.604472781902031e-05,0.0161983719668715,0.3367928051548186
8,21.93949552898793,1.7214192,1.0289187,0.0549575247948059,glove-angular-104-1183514,"Annealing(rc, hard)",0.0001537793384784,0.0391419112912901,0.4490179245872883
9,36.492474279194575,1.6079679,1.0212195,0.303982039925172,glove-angular-104-1183514,"Annealing(rc, hard)",0.0031355776104042,0.3084534699209303,0.952374876849788
0,12.30482901663848,2.0567133,1.0461357,0.0046797188027374,nytimes-angular-256-289761,"Annealing(rc, easy)",0.0,0.0,0.0
1,67.37503212691885,1.9395176,1.380143,0.0047142300033475,nytimes-angular-256-289761,"Annealing(rc, easy)",1.0,1.0,1.0
2,27.38660301615741,1.9368284,1.0680916,0.0028713318907651,nytimes-angular-256-289761,"Annealing(rc, easy)",1.0,1.0,1.0
3,476.0661429136756,1.4818842,1.125167,0.2601730391598593,nytimes-angular-256-289761,"Annealing(rc, easy)",1.0,1.0,1.0
4,130.33278033228967,1.9312522,1.4590675,0.0537719016706872,nytimes-angular-256-289761,"Annealing(rc, easy)",1.0,1.0,1.0
5,81.91280063275688,1.61964,1.0805657,0.023377887293321,nytimes-angular-256-289761,"Annealing(rc, easy)",1.0,1.0,1.0
6,21.27167052278232,1.9317563,1.2623153,0.0557735513060763,nytimes-angular-256-289761,"Annealing(rc, easy)",1.0,1.0,1.0
7,152.78485152323307,1.704874,1.2573276,0.0826129120205962,nytimes-angular-256-289761,"Annealing(rc, easy)",1.0,1.0,1.0
8,60.10194927352276,1.6983758,1.0774392,0.0211346592536607,nytimes-angular-256-289761,"Annealing(rc, easy)",1.0,1.0,1.0
9,12.14452793885902,1.9426432,1.1078054,0.0138217358443682,nytimes-angular-256-289761,"Annealing(rc, easy)",0.0,0.0,0.0
0,397.16554762841815,1.6067063,1.2189319,0.5688757286177228,nytimes-angular-256-289761,"Annealing(rc, medium)",0.0002967963252473,0.2328884839574684,0.971390214694179
1,2.0914891979289165,1.7599448,1.0684971,0.0189777092155258,nytimes-angular-256-289761,"Annealing(rc, medium)",3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06
2,13.069239798947605,1.7617532,1.0408092,0.0028713318907651,nytimes-angular-256-289761,"Annealing(rc, medium)",3.4511200610158028e-06,3.4511200610158028e-06,7.592464134234766e-05
3,34.318167212139244,1.604611,1.0212166,0.0039273746294359,nytimes-angular-256-289761,"Annealing(rc, medium)",0.0007040284924472,0.0494338437539903,0.8118104230728083
4,26.11663327367975,1.6085536,1.0805265,0.0033027218983921,nytimes-angular-256-289761,"Annealing(rc, medium)",0.0001380448024406,0.0074475170916721,0.4900314397037558
5,58.79566478074408,1.611827,1.0447032,0.0041413440732189,nytimes-angular-256-289761,"Annealing(rc, medium)",0.0003899765668947,0.0383074326772754,0.7274684999016431
6,123.17492776046385,1.6103005,1.119802,0.0353532739050458,nytimes-angular-256-289761,"Annealing(rc, medium)",0.0010802005790979,0.1977215705357173,0.9671522392592516
7,64.05556800265178,1.6108731,1.0642302,0.0161339862852488,nytimes-angular-256-289761,"Annealing(rc, medium)",0.0003036985653693,0.0673934725515165,0.8404271106187513
8,37.13378449374036,1.6050618,1.1250694,0.0041413440732189,nytimes-angular-256-289761,"Annealing(rc, medium)",7.592464134234766e-05,0.0227877457628873,0.6469987334389377
9,7.749963129284016,1.6742308,1.0677601,0.2587028620138666,nytimes-angular-256-289761,"Annealing(rc, medium)",3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06
0,76.86999003977323,1.3246616,1.0141321,0.5370218904545471,nytimes-angular-256-289761,"Annealing(rc, hard)",0.0197507601091934,0.5266443724310725,0.9859746480720316
1,17.315769488469517,1.371702,1.0176104,0.1374201497095882,nytimes-angular-256-289761,"Annealing(rc, hard)",3.4511200610158028e-06,6.9022401220316056e-06,0.0001622026428677
2,49.54234942266056,1.3199636,1.0125686,0.6011816635088918,nytimes-angular-256-289761,"Annealing(rc, hard)",0.0038410966279105,0.2875611279640807,0.9358574825459602
3,15.495010891883416,1.3204045,1.0081484,0.6521374512097902,nytimes-angular-256-289761,"Annealing(rc, hard)",3.4511200610158028e-06,3.4511200610158028e-06,2.4157840427110614e-05
4,16.917730051884575,1.4100881,1.0261334,0.003734111906019,nytimes-angular-256-289761,"Annealing(rc, hard)",6.9022401220316056e-06,0.0001345936823796,0.0107743968304913
5,51.0285095629354,1.3011854,1.0099989,0.7305883124368013,nytimes-angular-256-289761,"Annealing(rc, hard)",0.012465445660389,0.476948243552445,0.9830757072207784
6,97.50830745321308,1.337507,1.0092304,0.6806402517937197,nytimes-angular-256-289761,"Annealing(rc, hard)",3.4511200610158028e-06,3.4511200610158028e-06,3.4511200610158028e-06
7,44.61273177456171,1.3193989,1.0081725,0.6168704553062696,nytimes-angular-256-289761,"Annealing(rc, hard)",0.0018636048329485,0.1859946645683856,0.871376755325941
8,139.38874636940372,1.3220414,1.0062584,0.7484409565124361,nytimes-angular-256-289761,"Annealing(rc, hard)",0.0293414227587563,0.5958945475754156,0.991458477848986
