dataset,workload,query_index,index_name,target_recall,index_params,time_s,distcomp,recall
sald-128-100m,File(sald-128-1k),469,faiss_hnsw,0.95,"{""efSearch"": 2, ""index_params"": ""HNSW32""}",0.005217075347900391,3.16e-05,1.0
sald-128-100m,File(sald-128-1k),470,faiss_hnsw,0.95,"{""efSearch"": 4, ""index_params"": ""HNSW32""}",0.012431526184082031,6.52e-05,1.0
sald-128-100m,File(sald-128-1k),471,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.01197798252105713,0.0001622,1.0
sald-128-100m,File(sald-128-1k),472,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.011048698425292968,0.0001232,1.0
sald-128-100m,File(sald-128-1k),473,faiss_hnsw,0.95,"{""efSearch"": 4, ""index_params"": ""HNSW32""}",0.004536843299865723,2.58e-05,1.0
sald-128-100m,File(sald-128-1k),474,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.007240581512451172,0.0001146,1.0
sald-128-100m,File(sald-128-1k),475,faiss_hnsw,0.95,"{""efSearch"": 2048, ""index_params"": ""HNSW32""}",0.033676862716674805,0.011016,1.0
sald-128-100m,File(sald-128-1k),476,faiss_hnsw,0.95,"{""efSearch"": 65536, ""index_params"": ""HNSW32""}",9.968305611610413,0.1428096,1.0
sald-128-100m,File(sald-128-1k),477,faiss_hnsw,0.95,"{""efSearch"": 2, ""index_params"": ""HNSW32""}",0.0030515909194946287,3.8e-05,1.0
sald-128-100m,File(sald-128-1k),478,faiss_hnsw,0.95,"{""efSearch"": 256, ""index_params"": ""HNSW32""}",0.0048511743545532225,0.0012986,1.0
sald-128-100m,File(sald-128-1k),479,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.0030172586441040037,0.000119,1.0
sald-128-100m,File(sald-128-1k),480,faiss_hnsw,0.95,"{""efSearch"": 2048, ""index_params"": ""HNSW32""}",0.0203859806060791,0.0078996,1.0
sald-128-100m,File(sald-128-1k),481,faiss_hnsw,0.95,"{""efSearch"": 128, ""index_params"": ""HNSW32""}",0.004294538497924804,0.0009968,1.0
