iteration,rc,elapsed_s,query_index,dataset,method,method_params
0,1.7436049,12.448343515396118,4896752,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0593055,23.74553632736206,4896752,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.4641585,9.711443424224854,4883497,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.049145,17.352516174316406,4883497,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.3062038,7.558686971664429,4939701,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0444735,15.440264463424683,4939701,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.4209028,8.28975796699524,1900978,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0466965,16.029494047164917,1900978,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,2.2047071,7.952608108520508,856798,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0660683,15.709216117858887,856798,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
2,1.0383846,23.700963497161865,856798,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.3011028,8.721524715423584,4616230,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0789002,17.44145703315735,4616230,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
2,1.0447105,24.744473695755005,4616230,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,5.4101887,7.396909236907959,524463,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0407485,14.80191421508789,524463,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.322485,7.462863922119141,1308461,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0717021,14.822587251663208,1308461,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
2,1.0408094,23.0617835521698,1308461,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.2890064,8.34119987487793,693902,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0538286,15.846630096435547,693902,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.3246845,7.016219615936279,1595484,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0401647,14.175533294677734,1595484,/mnt/hddhelp/workgen_data/seismic-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
