i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
33,19.836163377449555,2.1500244,1.0329239,0.022916666666666665,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.14991666666666667,0.814,1.0
34,13.538391023359837,2.379351,1.0427758,0.014066666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.02265,0.7254833333333334,0.9994666666666666
35,31.281068939861413,2.9880147,1.0312734,0.014633333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.10851666666666666,0.5645,0.933
36,12.153523058449194,2.2783756,1.0187609,0.042866666666666664,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.12683333333333333,0.6579166666666667,0.9933833333333333
37,12.963585022544633,4.008941,1.0281407,0.01685,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.01415,0.15741666666666668,0.3715333333333333
38,16.379130175163652,2.9933643,1.030738,0.0144,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.051366666666666665,0.2977166666666667,0.84925
39,25.98502860228445,3.1843169,1.024011,0.026216666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.04733333333333333,0.25201666666666667,0.9327833333333333
40,18.067296526113623,3.6850114,1.1003635,0.00885,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0176,0.19695,0.6135666666666667
41,14.878831322097675,4.222912,1.1089749,0.015283333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0058,0.04306666666666667,0.14661666666666667
42,23.289317909034935,2.8114192,1.0854176,0.015383333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.06275,0.5523333333333333,0.9946666666666667
43,34.63692079266735,2.8470304,1.0391827,0.0206,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0962,0.6795,0.9999833333333333
44,16.47233700185851,3.2039433,1.0376153,0.02266666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.06981666666666667,0.32848333333333335,0.7491833333333333
45,11.9981585641169,2.373001,1.0143174,0.05115,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.006533333333333334,0.32413333333333333,0.64495
46,8.07581622031969,2.7714217,1.0281968,0.02625,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.053766666666666664,0.3787333333333333,0.87975
47,23.05365398528196,3.0835547,1.0220459,0.018266666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.08651666666666667,0.37011666666666665,0.9052666666666667
48,38.94080155232001,2.000578,1.0154722,0.039766666666666665,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.5350333333333334,0.9960833333333333,1.0
49,21.27239628965736,2.4932473,1.0438999,0.029333333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.19681666666666667,0.9072666666666667,1.0
50,13.660411748630402,2.9541237,1.15197,0.007383333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.02045,0.36943333333333334,0.9815833333333334
51,26.084564450964706,2.5320868,1.024516,0.02835,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.1974,0.7955666666666666,0.9986333333333334
52,13.614981768551905,2.8956466,1.0243318,0.017066666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.018766666666666668,0.22491666666666665,0.48901666666666666
53,27.32538453890312,2.1970778,1.0380685,0.011516666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.27395,0.9996,1.0
54,11.672008064622728,3.5352962,1.0921673,0.0095,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0037166666666666667,0.15126666666666666,0.5582
55,18.43884970363358,2.7211413,1.0650257,0.007383333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.03178333333333333,0.4875833333333333,1.0
56,18.018175230592906,2.5164118,1.045989,0.019616666666666668,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.028383333333333333,0.7365166666666667,1.0
57,19.59878543404421,2.4342117,1.0355173,0.04448333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.10018333333333333,0.7052333333333334,0.9999666666666667
58,22.004217956361035,2.5095112,1.0312532,0.01255,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.04836666666666667,0.8814833333333333,1.0
59,10.60398479042709,3.3681371,1.0499648,0.025183333333333332,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.01425,0.14936666666666668,0.4653833333333333
60,28.44206406706401,3.6690743,1.0379386,0.019783333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0654,0.27131666666666665,0.62175
61,32.64634714355437,3.207936,1.0631474,0.0098,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.10223333333333333,0.43015,0.87785
62,12.174927415284847,2.3400204,1.0632701,0.00895,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.008383333333333333,0.7070833333333333,0.9999833333333333
63,27.071217492334256,2.4876225,1.0186394,0.022216666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.2269,0.6474333333333333,0.9729666666666666
64,7.910382245707462,3.958759,1.0489426,0.007666666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.008866666666666667,0.06185,0.18778333333333333
65,13.320504992842414,3.381446,1.0434417,0.021833333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.023783333333333333,0.2514166666666667,0.6078666666666667
66,26.951437594980224,2.2660334,1.0264951,0.021416666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.33521666666666666,0.8797,0.99955
67,7.087533387944585,3.0278597,1.0624837,0.010916666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.004783333333333333,0.21598333333333333,0.53135
68,36.32994036200137,2.2797794,1.0155613,0.0441,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.3962833333333333,0.9075166666666666,0.9999833333333333
69,18.100096076478287,2.456832,1.0516803,0.009466666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.03903333333333334,0.9662333333333334,1.0
