iteration,rc,elapsed_s,query_index,dataset,method,method_params
28,1.2668667,7.638817071914673,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
29,1.2584599,7.875795602798462,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
30,1.250702,8.098057985305786,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
31,1.2426735,8.319138050079346,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
32,1.2346312,8.540307760238647,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
33,1.2267774,8.760782718658447,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
34,1.2187903,8.982714176177979,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
35,1.2120866,9.205608367919922,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
36,1.2054801,9.426088571548462,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
37,1.2001917,9.650207757949827,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
38,1.1950899,9.873573780059814,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
39,1.1898509,10.094465017318726,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
40,1.1866829,10.316168308258057,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
41,1.1836481,10.538791418075562,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
42,1.1808237,10.762501239776611,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
43,1.1774857,10.984859704971312,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
44,1.1748602,11.206404209136965,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
45,1.1719484,11.429579734802246,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
46,1.1688744,11.706297159194946,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
47,1.1656054,11.924993515014648,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
48,1.1621832,12.132984638214111,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
49,1.1587564,12.369926691055298,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
50,1.155407,12.576472043991089,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
51,1.1532258,12.793192625045776,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
52,1.1498353,13.00137495994568,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
53,1.1463661,13.210256099700928,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
54,1.1428385,13.425613403320312,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
55,1.1405338,13.64800477027893,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
56,1.1388862,13.870660066604614,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
57,1.1365399,14.09307074546814,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
