dataset,workload,query_index,index_name,index_params,time_s,distcomp,recall
sald-128-100m,File(sald-128-1k),90,messi,,,0.0018901,1.0
sald-128-100m,File(sald-128-1k),91,messi,,,0.024857875,1.0
sald-128-100m,File(sald-128-1k),92,messi,,,0.0001364,1.0
sald-128-100m,File(sald-128-1k),93,messi,,,0.113845525,1.0
sald-128-100m,File(sald-128-1k),94,messi,,,0.000593525,1.0
sald-128-100m,File(sald-128-1k),95,messi,,,0.001900475,1.0
sald-128-100m,File(sald-128-1k),96,messi,,,0.003341025,1.0
sald-128-100m,File(sald-128-1k),97,messi,,,0.4148356,1.0
sald-128-100m,File(sald-128-1k),98,messi,,,0.000596175,1.0
sald-128-100m,File(sald-128-1k),99,messi,,,0.179928725,1.0
sald-128-100m,File(sald-128-1k),100,messi,,,0.000661225,1.0
sald-128-100m,File(sald-128-1k),101,messi,,,0.03581525,1.0
sald-128-100m,File(sald-128-1k),102,messi,,,0.0001921,1.0
sald-128-100m,File(sald-128-1k),103,messi,,,0.010315525,1.0
sald-128-100m,File(sald-128-1k),104,messi,,,0.00033315,1.0
sald-128-100m,File(sald-128-1k),105,messi,,,0.04486455,1.0
sald-128-100m,File(sald-128-1k),106,messi,,,0.000142,1.0
sald-128-100m,File(sald-128-1k),107,messi,,,0.019038175,1.0
sald-128-100m,File(sald-128-1k),108,messi,,,6.6875e-05,1.0
sald-128-100m,File(sald-128-1k),109,messi,,,0.042605525,1.0
sald-128-100m,File(sald-128-1k),110,messi,,,0.000974825,1.0
sald-128-100m,File(sald-128-1k),111,messi,,,0.082380325,1.0
sald-128-100m,File(sald-128-1k),112,messi,,,0.0004465,1.0
sald-128-100m,File(sald-128-1k),113,messi,,,0.0036907,1.0
sald-128-100m,File(sald-128-1k),114,messi,,,4.5e-06,1.0
sald-128-100m,File(sald-128-1k),115,messi,,,0.507755,1.0
sald-128-100m,File(sald-128-1k),116,messi,,,0.00010005,1.0
sald-128-100m,File(sald-128-1k),117,messi,,,0.008912775,1.0
sald-128-100m,File(sald-128-1k),118,messi,,,2.2625e-05,1.0
sald-128-100m,File(sald-128-1k),119,messi,,,0.025919625,1.0
sald-128-100m,File(sald-128-1k),120,messi,,,0.00036865,1.0
sald-128-100m,File(sald-128-1k),121,messi,,,0.070533,1.0
sald-128-100m,File(sald-128-1k),122,messi,,,0.00016655,1.0
sald-128-100m,File(sald-128-1k),123,messi,,,0.10176815,1.0
sald-128-100m,File(sald-128-1k),124,messi,,,0.00015695,1.0
sald-128-100m,File(sald-128-1k),125,messi,,,0.108628425,1.0
sald-128-100m,File(sald-128-1k),126,messi,,,0.000536325,1.0
sald-128-100m,File(sald-128-1k),127,messi,,,0.00263965,1.0
sald-128-100m,File(sald-128-1k),128,messi,,,0.000165225,1.0
sald-128-100m,File(sald-128-1k),129,messi,,,0.04178225,1.0
sald-128-100m,File(sald-128-1k),130,messi,,,1.98e-05,1.0
sald-128-100m,File(sald-128-1k),131,messi,,,0.1953054,1.0
sald-128-100m,File(sald-128-1k),132,messi,,,0.000247875,1.0
sald-128-100m,File(sald-128-1k),133,messi,,,0.030407125,1.0
sald-128-100m,File(sald-128-1k),134,messi,,,0.0005494,1.0
sald-128-100m,File(sald-128-1k),135,messi,,,0.087066675,1.0
sald-128-100m,File(sald-128-1k),136,messi,,,0.001928125,1.0
sald-128-100m,File(sald-128-1k),137,messi,,,0.103618175,1.0
sald-128-100m,File(sald-128-1k),138,messi,,,0.0007588,1.0
sald-128-100m,File(sald-128-1k),139,messi,,,0.061140725,1.0
sald-128-100m,File(sald-128-1k),140,messi,,,0.00012305,1.0
sald-128-100m,File(sald-128-1k),141,messi,,,0.0461815,1.0
sald-128-100m,File(sald-128-1k),142,messi,,,0.001460725,1.0
sald-128-100m,File(sald-128-1k),143,messi,,,0.03057115,1.0
sald-128-100m,File(sald-128-1k),144,messi,,,3.5775e-05,1.0
sald-128-100m,File(sald-128-1k),145,messi,,,0.12506605,1.0
sald-128-100m,File(sald-128-1k),146,messi,,,0.00029795,1.0
sald-128-100m,File(sald-128-1k),147,messi,,,0.019833025,1.0
sald-128-100m,File(sald-128-1k),148,messi,,,4.4775e-05,1.0
sald-128-100m,File(sald-128-1k),149,messi,,,0.156240475,1.0
sald-128-100m,File(sald-128-1k),150,messi,,,0.000182325,1.0
sald-128-100m,File(sald-128-1k),151,messi,,,0.18046825,1.0
sald-128-100m,File(sald-128-1k),152,messi,,,1.8e-06,1.0
sald-128-100m,File(sald-128-1k),153,messi,,,0.21681425,1.0
sald-128-100m,File(sald-128-1k),154,messi,,,0.00049045,1.0
sald-128-100m,File(sald-128-1k),155,messi,,,0.003376975,1.0
sald-128-100m,File(sald-128-1k),156,messi,,,0.00023275,1.0
sald-128-100m,File(sald-128-1k),157,messi,,,0.1176935,1.0
sald-128-100m,File(sald-128-1k),158,messi,,,7.605e-05,1.0
sald-128-100m,File(sald-128-1k),159,messi,,,0.873007,1.0
sald-128-100m,File(sald-128-1k),160,messi,,,0.00336725,1.0
sald-128-100m,File(sald-128-1k),161,messi,,,0.177664275,1.0
sald-128-100m,File(sald-128-1k),162,messi,,,0.001151,1.0
sald-128-100m,File(sald-128-1k),163,messi,,,0.032722825,1.0
sald-128-100m,File(sald-128-1k),164,messi,,,0.001075675,1.0
sald-128-100m,File(sald-128-1k),165,messi,,,0.018700025,1.0
sald-128-100m,File(sald-128-1k),166,messi,,,0.000459975,1.0
sald-128-100m,File(sald-128-1k),167,messi,,,0.001101125,1.0
sald-128-100m,File(sald-128-1k),168,messi,,,0.0002409,1.0
sald-128-100m,File(sald-128-1k),169,messi,,,0.049135725,1.0
sald-128-100m,File(sald-128-1k),170,messi,,,0.00017415,1.0
sald-128-100m,File(sald-128-1k),171,messi,,,0.9411036,1.0
sald-128-100m,File(sald-128-1k),172,messi,,,0.001264625,1.0
sald-128-100m,File(sald-128-1k),173,messi,,,0.070008375,1.0
sald-128-100m,File(sald-128-1k),174,messi,,,0.0005924,1.0
sald-128-100m,File(sald-128-1k),175,messi,,,0.0582564,1.0
sald-128-100m,File(sald-128-1k),176,messi,,,6.525e-06,1.0
sald-128-100m,File(sald-128-1k),177,messi,,,0.2130034,1.0
