i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
961,58.083236029290035,1.6017516,1.0113026,0.010292,sald-128-1m,File(sald-128-1k),0.763628,1.0,1.0
962,18.057736026807145,2.5103552,1.0297575,0.006103,sald-128-1m,File(sald-128-1k),0.004573,0.23254,0.897527
963,95.17165978994737,1.6197091,1.0236217,0.006709,sald-128-1m,File(sald-128-1k),0.818614,1.0,1.0
964,40.19516249420375,1.5565174,1.0203627,0.120428,sald-128-1m,File(sald-128-1k),0.95187,1.0,1.0
965,26.376687817159127,3.0273764,1.0494263,0.007849,sald-128-1m,File(sald-128-1k),0.00397,0.070705,0.42288
966,48.640156703274734,1.702177,1.0088224,0.031285,sald-128-1m,File(sald-128-1k),0.455372,1.0,1.0
967,23.267759677208073,2.8792844,1.0566666,0.016255,sald-128-1m,File(sald-128-1k),0.006503,0.105584,0.643435
968,56.5520163481998,6.6518846,1.0503547,0.005127,sald-128-1m,File(sald-128-1k),0.001822,0.007792,0.025971
969,27.645036530743653,1.9942342,1.0384231,0.003495,sald-128-1m,File(sald-128-1k),0.104264,0.97984,1.0
970,24.952643359877015,2.3878553,1.032562,0.021812,sald-128-1m,File(sald-128-1k),0.046335,0.47097,0.991113
971,30.47690967880069,2.675098,1.0242039,0.005759,sald-128-1m,File(sald-128-1k),0.032959,0.302536,0.845755
972,110.02982217722507,1.2865913,1.011354,0.197539,sald-128-1m,File(sald-128-1k),1.0,1.0,1.0
973,10.480932815829256,2.09419,1.0294523,0.003096,sald-128-1m,File(sald-128-1k),2.2e-05,0.009477,0.293927
974,29.61217403833919,1.8071376,1.020347,0.019909,sald-128-1m,File(sald-128-1k),0.09372,0.995378,1.0
975,42.68212464032007,2.796727,1.058545,0.00983,sald-128-1m,File(sald-128-1k),0.00848,0.25304,0.871294
976,19.92918296660849,2.2837977,1.0509659,0.003824,sald-128-1m,File(sald-128-1k),0.001522,0.15895,0.951766
977,67.06251770367425,2.0998063,1.0206628,0.013102,sald-128-1m,File(sald-128-1k),0.204749,0.889059,1.0
978,22.195655818600926,7.453584,1.0528877,0.005076,sald-128-1m,File(sald-128-1k),0.000493,0.002505,0.006945
979,19.429594040658575,2.8373046,1.0255713,0.010421,sald-128-1m,File(sald-128-1k),0.004443,0.127578,0.782112
980,59.40568555052808,1.9975873,1.0333503,0.036553,sald-128-1m,File(sald-128-1k),0.140248,0.999053,1.0
981,37.32142980286513,1.6894482,1.0130019,0.032232,sald-128-1m,File(sald-128-1k),0.555087,1.0,1.0
982,57.469642776928204,1.4795172,1.0131266,0.061379,sald-128-1m,File(sald-128-1k),0.921847,1.0,1.0
