dataset,workload,query_index,index_name,target_recall,index_params,time_s,distcomp,recall
sald-128-1m,File(sald-128-1k),412,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.008416557312011718,0.001019,1.0
sald-128-1m,File(sald-128-1k),413,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.007168912887573242,0.00189,1.0
sald-128-1m,File(sald-128-1k),414,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.00028159618377685545,0.000533,1.0
sald-128-1m,File(sald-128-1k),415,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.0003238677978515625,0.000714,1.0
sald-128-1m,File(sald-128-1k),416,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.0003722667694091797,0.000939,1.0
sald-128-1m,File(sald-128-1k),417,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.007834029197692872,0.001024,1.0
sald-128-1m,File(sald-128-1k),418,faiss_hnsw,0.95,"{""efSearch"": 2, ""index_params"": ""HNSW32""}",0.0002609729766845703,0.000216,1.0
sald-128-1m,File(sald-128-1k),419,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.009218502044677734,0.000369,1.0
sald-128-1m,File(sald-128-1k),420,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.008683276176452637,0.001097,1.0
sald-128-1m,File(sald-128-1k),421,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.004323005676269531,0.000799,1.0
sald-128-1m,File(sald-128-1k),422,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.00028297901153564455,0.000568,1.0
sald-128-1m,File(sald-128-1k),423,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.000519704818725586,0.001529,1.0
sald-128-1m,File(sald-128-1k),424,faiss_hnsw,0.95,"{""efSearch"": 2, ""index_params"": ""HNSW32""}",0.010361909866333008,0.000241,1.0
sald-128-1m,File(sald-128-1k),425,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.008546805381774903,0.001056,1.0
sald-128-1m,File(sald-128-1k),426,faiss_hnsw,0.95,"{""efSearch"": 4, ""index_params"": ""HNSW32""}",0.0072367191314697266,0.000225,1.0
sald-128-1m,File(sald-128-1k),427,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.0006367444992065429,0.002018,1.0
sald-128-1m,File(sald-128-1k),428,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.005415081977844238,0.001137,1.0
sald-128-1m,File(sald-128-1k),429,faiss_hnsw,0.95,"{""efSearch"": 512, ""index_params"": ""HNSW32""}",0.007226037979125977,0.010093,1.0
sald-128-1m,File(sald-128-1k),430,faiss_hnsw,0.95,"{""efSearch"": 2, ""index_params"": ""HNSW32""}",0.010319018363952636,0.000233,1.0
sald-128-1m,File(sald-128-1k),431,faiss_hnsw,0.95,"{""efSearch"": 2048, ""index_params"": ""HNSW32""}",0.015807199478149413,0.037407,1.0
sald-128-1m,File(sald-128-1k),432,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.000875544548034668,0.000245,1.0
sald-128-1m,File(sald-128-1k),433,faiss_hnsw,0.95,"{""efSearch"": 256, ""index_params"": ""HNSW32""}",0.005360293388366699,0.006637,1.0
sald-128-1m,File(sald-128-1k),434,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.008686447143554687,0.000775,1.0
sald-128-1m,File(sald-128-1k),435,faiss_hnsw,0.95,"{""efSearch"": 256, ""index_params"": ""HNSW32""}",0.004909253120422364,0.007194,1.0
sald-128-1m,File(sald-128-1k),436,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.0003614187240600586,0.000424,1.0
sald-128-1m,File(sald-128-1k),437,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.0006206750869750977,0.00187,1.0
sald-128-1m,File(sald-128-1k),438,faiss_hnsw,0.95,"{""efSearch"": 256, ""index_params"": ""HNSW32""}",0.007609844207763672,0.006634,1.0
sald-128-1m,File(sald-128-1k),439,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.0003132343292236328,0.00073,1.0
sald-128-1m,File(sald-128-1k),440,faiss_hnsw,0.95,"{""efSearch"": 128, ""index_params"": ""HNSW32""}",0.006962704658508301,0.002878,1.0
sald-128-1m,File(sald-128-1k),441,faiss_hnsw,0.95,"{""efSearch"": 512, ""index_params"": ""HNSW32""}",0.008640360832214356,0.010668,1.0
sald-128-1m,File(sald-128-1k),442,faiss_hnsw,0.95,"{""efSearch"": 1024, ""index_params"": ""HNSW32""}",0.005142331123352051,0.011283,1.0
sald-128-1m,File(sald-128-1k),443,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.0006735086441040039,0.002248,1.0
sald-128-1m,File(sald-128-1k),444,faiss_hnsw,0.95,"{""efSearch"": 2048, ""index_params"": ""HNSW32""}",0.015403389930725098,0.035394,1.0
sald-128-1m,File(sald-128-1k),445,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.007190799713134766,0.000334,1.0
sald-128-1m,File(sald-128-1k),446,faiss_hnsw,0.95,"{""efSearch"": 4, ""index_params"": ""HNSW32""}",0.0006750822067260742,0.000367,1.0
sald-128-1m,File(sald-128-1k),447,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.00040514469146728515,0.000957,1.0
sald-128-1m,File(sald-128-1k),448,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.0075672388076782225,0.001949,1.0
sald-128-1m,File(sald-128-1k),449,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.008749103546142578,0.000615,1.0
sald-128-1m,File(sald-128-1k),450,faiss_hnsw,0.95,"{""efSearch"": 256, ""index_params"": ""HNSW32""}",0.007852745056152344,0.006273,1.0
sald-128-1m,File(sald-128-1k),451,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.00046989917755126955,0.000881,1.0
sald-128-1m,File(sald-128-1k),452,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.0070716142654418945,0.001128,1.0
sald-128-1m,File(sald-128-1k),453,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.009428739547729492,0.000522,1.0
